Header + Intro,Body Content,Specification
"Versatile Mid-Range Fusion Welding: The M9-1500 provides exceptional flexibility for intermediate-diameter tubes and fittings, combining the precision concentricity control of Arc Machines' dual-sided clamping technology with the convenience of a flip-up viewing window that enables real-time fit-up verification and quality monitoring.","The M9-1500 Weld Head Top Assembly is an intermediate-sized fusion weld head engineered for tubes and fittings ranging from 1/4"" through 1.5"" OD, offering exceptional precision and reliability in demanding applications. The dual-sided clamping mechanism provides superior concentricity control without requiring preliminary tack welding, streamlining production workflows. The integrated flip-up viewing window enables operators to verify component fit-up before welding initiation, reducing defect rates and rework costs. The water-cooling system allows extended duty cycles for high-production applications, while compatibility with all Arc Machines power supplies ensures seamless integration into existing welding systems. This weld head has become the industry standard for pharmaceutical, semiconductor, and high-purity gas distribution applications.","- Tube/Pipe OD Range: 0.250"" - 2.500"" (6.3 - 38.1 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided mechanism for concentric alignment
- Viewing Window: Flip-up design for fit-up verification
- Water Cooling: Plumbed for extended duty cycles
- Insert Sizes: Easily replaced, size-specific clamps
- Process: GTAW (TIG) fusion welding
- Weight: 3.8 lbs (1.7 kg)"
"Versatile Mid-Range Fusion Welding: The M9-1500 provides exceptional flexibility for intermediate-diameter tubes and fittings, combining the precision concentricity control of Arc Machines' dual-sided clamping technology with the convenience of a flip-up viewing window that enables real-time fit-up verification and quality monitoring.","The M9-1500 Weld Head Top Assembly is an intermediate-sized fusion weld head engineered for tubes and fittings ranging from 1/4"" through 1.5"" OD, offering exceptional precision and reliability in demanding applications. The dual-sided clamping mechanism provides superior concentricity control without requiring preliminary tack welding, streamlining production workflows. The integrated flip-up viewing window enables operators to verify component fit-up before welding initiation, reducing defect rates and rework costs. The water-cooling system allows extended duty cycles for high-production applications, while compatibility with all Arc Machines power supplies ensures seamless integration into existing welding systems. This weld head has become the industry standard for pharmaceutical, semiconductor, and high-purity gas distribution applications.","- Tube/Pipe OD Range: 0.250"" - 2.500"" (6.3 - 38.1 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided mechanism for concentric alignment
- Viewing Window: Flip-up design for fit-up verification
- Water Cooling: Plumbed for extended duty cycles
- Insert Sizes: Easily replaced, size-specific clamps
- Process: GTAW (TIG) fusion welding
- Weight: 3.8 lbs (1.7 kg)"
"Ultra-Precision Miniature Welding: The M9-250 represents Arc Machines' specialized solution for welding miniature components with outer diameters up to 1/4"", featuring unique design elements that ensure perfect alignment on delicate tubing while maintaining the precision required for aerospace, medical, and instrumentation applications.","The M9-250 Weld Head Top Assembly is a precision micro welding system specifically engineered for ultra-miniature applications requiring fusion welding of components up to 1/4"" (6.35 mm) OD, including mini-fittings, needle valves, and miniature tube assemblies. The unique hardened clamp plate design with integrated visual sight window enables operators to achieve perfect concentricity on extremely small diameter components, even in applications with severely restricted radial clearance. The specialized latch mechanism provides a firm, consistent grip without deforming delicate miniature tubing, while maintaining the precise alignment essential for high-quality orbital welds. This weld head has become the standard for aerospace, medical device, and precision instrumentation applications.","- Tube/Pipe OD Range: 0.093"" - 0.250"" (2.3 - 6.35 mm)
- Wall Thicknesses: 0.01"" - 0.05"" (0.25 - 1.27 mm)
- Clamping: Two sets of hardened clamp plates
- Viewing Window: Visual sight window included
- Latch Design: Unique mechanism for firm grip
- Radial Clearance: Extremely tight limitations accommodated
- Process: GTAW (TIG) fusion butt welding
- Weight: 1.2 lbs (0.54 kg)"
"Standard Diameter Versatility: The M9-2500 combines precision, reliability, and flexibility across the standard 3/4"" through 2.5"" OD range, incorporating dual-sided clamping with flip-up viewing window for complete operational control and real-time quality monitoring in demanding production environments.","The M9-2500 Weld Head Top Assembly combines precision and versatility for standard mid-range tube and pipe applications spanning 3/4"" through 2.5"" OD. The dual-sided clamping system provides consistent concentricity control across the entire diameter range, while the flip-up viewing window enables real-time fit-up verification and quality monitoring. The water-cooling integration allows operators to extend duty cycles in demanding production environments while maintaining optimal weld quality. The extensive range of available size-specific clamps ensures smooth operation on both metric and imperial tube sizes, making this weld head exceptionally flexible for diverse manufacturing applications across semiconductor, pharmaceutical, and industrial gas industries.","- Tube/Pipe OD Range: 0.750"" - 2.500"" (19 - 63.5 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided mechanism
- Viewing Window: Flip-up design for component verification
- Water Cooling: Plumbed capability
- Collet Types: Various sizes for diameter accommodation
- Process: GTAW (TIG) fusion welding
- Weight: 4.0 lbs (1.8 kg)"
"Standard Diameter Versatility: The M9-2500 combines precision, reliability, and flexibility across the standard 3/4"" through 2.5"" OD range, incorporating dual-sided clamping with flip-up viewing window for complete operational control and real-time quality monitoring in demanding production environments.","The M9-2500 Weld Head Top Assembly combines precision and versatility for standard mid-range tube and pipe applications spanning 3/4"" through 2.5"" OD. The dual-sided clamping system provides consistent concentricity control across the entire diameter range, while the flip-up viewing window enables real-time fit-up verification and quality monitoring. The water-cooling integration allows operators to extend duty cycles in demanding production environments while maintaining optimal weld quality. The extensive range of available size-specific clamps ensures smooth operation on both metric and imperial tube sizes, making this weld head exceptionally flexible for diverse manufacturing applications across semiconductor, pharmaceutical, and industrial gas industries.","- Tube/Pipe OD Range: 0.750"" - 2.500"" (19 - 63.5 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided mechanism
- Viewing Window: Flip-up design for component verification
- Water Cooling: Plumbed capability
- Collet Types: Various sizes for diameter accommodation
- Process: GTAW (TIG) fusion welding
- Weight: 4.0 lbs (1.8 kg)"
"Large-Diameter Precision Welding: The M9-3500 delivers robust performance for tubes spanning 1"" through 3.5"" OD, incorporating Arc Machines' proven dual-sided clamping technology with extensive collet options for optimal performance across diverse tube materials and industrial applications.","The M9-3500 Weld Head Top Assembly is engineered for larger-diameter tube applications spanning 1"" through 3.5"" OD, offering robust performance in industrial welding environments. The dual-sided clamping mechanism accommodates significant diameter variations while maintaining perfect component concentricity throughout the welding process. The flip-up viewing window provides operators with continuous visual access to the weld joint, enabling real-time quality monitoring and adjustment. The water-cooling system extends operational duty cycles in high-production settings, while the broad range of available collets ensures compatible operation with metric and imperial tube specifications and diverse material compositions.","- Tube/Pipe OD Range: 1.00"" - 3.500"" (25.4 - 88.9 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided concentricity mechanism
- Viewing Window: Flip-up design
- Water Cooling: Plumbed for increased duty cycles
- Insert/Collets: Wide variety available
- Process: GTAW (TIG) fusion welding
- Weight: 4.5 lbs (2.0 kg)"
"Large-Diameter Precision Welding: The M9-3500 delivers robust performance for tubes spanning 1"" through 3.5"" OD, incorporating Arc Machines' proven dual-sided clamping technology with extensive collet options for optimal performance across diverse tube materials and industrial applications.","The M9-3500 Weld Head Top Assembly is engineered for larger-diameter tube applications spanning 1"" through 3.5"" OD, offering robust performance in industrial welding environments. The dual-sided clamping mechanism accommodates significant diameter variations while maintaining perfect component concentricity throughout the welding process. The flip-up viewing window provides operators with continuous visual access to the weld joint, enabling real-time quality monitoring and adjustment. The water-cooling system extends operational duty cycles in high-production settings, while the broad range of available collets ensures compatible operation with metric and imperial tube specifications and diverse material compositions.","- Tube/Pipe OD Range: 1.00"" - 3.500"" (25.4 - 88.9 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided concentricity mechanism
- Viewing Window: Flip-up design
- Water Cooling: Plumbed for increased duty cycles
- Insert/Collets: Wide variety available
- Process: GTAW (TIG) fusion welding
- Weight: 4.5 lbs (2.0 kg)"
"Extra-Large Diameter Industrial Welding: The M9-4500 extends orbital welding capability to substantial pipe sizes while maintaining the precision, reliability, and water-cooled performance that enable sustained high-production operation in demanding petrochemical, power generation, and nuclear facilities.","The M9-4500 Weld Head Top Assembly represents the larger end of the closed fusion weld head spectrum, designed for substantial tubes and pipes ranging from 1.5"" through 4.5"" OD in demanding industrial applications. The precision-engineered dual-sided clamping system manages the mechanical requirements of large-diameter pipe welding while delivering consistent concentricity and weld quality. The water-cooling capability proves essential for sustained high-production operation with large-diameter components, enabling extended duty cycles and consistent thermal management. The robust construction and broad range of available collets make this weld head the preferred choice for heavy-wall pipe applications in petrochemical, power generation, and nuclear facilities.","- Tube/Pipe OD Range: 1.500"" - 4.500"" (38.1 - 114.3 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided mechanism
- Viewing Window: Flip-up design for fit-up verification
- Water Cooling: Capability for high-production use
- Collet Accommodation: Multiple size options
- Process: GTAW (TIG) fusion welding
- Weight: 5.3 lbs (2.4 kg)"
"Extra-Large Diameter Industrial Welding: The M9-4500 extends orbital welding capability to substantial pipe sizes while maintaining the precision, reliability, and water-cooled performance that enable sustained high-production operation in demanding petrochemical, power generation, and nuclear facilities.","The M9-4500 Weld Head Top Assembly represents the larger end of the closed fusion weld head spectrum, designed for substantial tubes and pipes ranging from 1.5"" through 4.5"" OD in demanding industrial applications. The precision-engineered dual-sided clamping system manages the mechanical requirements of large-diameter pipe welding while delivering consistent concentricity and weld quality. The water-cooling capability proves essential for sustained high-production operation with large-diameter components, enabling extended duty cycles and consistent thermal management. The robust construction and broad range of available collets make this weld head the preferred choice for heavy-wall pipe applications in petrochemical, power generation, and nuclear facilities.","- Tube/Pipe OD Range: 1.500"" - 4.500"" (38.1 - 114.3 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided mechanism
- Viewing Window: Flip-up design for fit-up verification
- Water Cooling: Capability for high-production use
- Collet Accommodation: Multiple size options
- Process: GTAW (TIG) fusion welding
- Weight: 5.3 lbs (2.4 kg)"
"Miniature Precision Welding: The M9-500 provides compact air-cooled performance for delicate miniature tubes as small as 3/32"" OD, featuring unique design elements that enable welding in severely confined spaces while maintaining the precision required for aerospace and medical device applications.","The M9-500 Weld Head Top Assembly is a compact air-cooled fusion weld head specifically engineered for miniature tube applications ranging from 3/32"" through 1/2"" OD with exceptionally tight radial clearance requirements. The unique design accommodates stick-out distances as short as 0.25"" (6.35 mm), enabling welding in extremely confined geometries typical of aerospace and medical device applications. The dual-sided clamping mechanism ensures perfect alignment of delicate miniature tubing, while the various TCA cassette options enable rapid changeover between different component sizes. The air-cooled design provides cost-effective operation for standard-duty applications while maintaining exceptional precision.","- Tube/Pipe OD Range: 0.093"" - 0.500"" (2.3 - 12.2 mm)
- Wall Thicknesses: 0.01"" - 0.05"" (0.25 - 1.27 mm)
- Clamping: Two-sided precision mechanism
- Stick-out Length: Minimum 0.25"" (6.35 mm) capability
- Cooling: Air-cooled design
- Collet Options: TCA cassettes for various sizes
- Process: GTAW (TIG) fusion welding
- Weight: 2.5 lbs (1.1 kg)"
"High-Performance Miniature Welding: The M9-500C water-cooled variant extends the M9-500's capabilities to high-duty-cycle applications, incorporating a Quick Release Kit for rapid changeover and 360-degree visibility that significantly improves production efficiency in high-volume miniature assembly manufacturing.","The M9-500C Weld Head Top Assembly is the water-cooled variant of the M9-500, engineered for high-duty-cycle miniature tube welding applications requiring maximum thermal performance. The integrated water-cooling system enables extended welding sequences on miniature components without thermal degradation, critical for high-production environments. The Quick Release Kit provides 360-degree visibility of the weld joint and enables remote clamp assembly loading, streamlining setup procedures and improving workflow efficiency. This weld head has become the standard for high-volume production of precision miniature assemblies in aerospace, medical, and semiconductor industries.","- Tube/Pipe OD Range: 0.093"" - 0.500"" (2.3 - 12.2 mm)
- Wall Thicknesses: 0.01"" - 0.05"" (0.25 - 1.27 mm)
- Clamping: Two-sided mechanism with quick release
- Quick Release Kit: Yes - remote clamp loading
- Water Cooling: Yes - for high duty cycle
- Visibility: 360-degree joint view capability
- Process: GTAW (TIG) fusion welding
- Weight: 2.7 lbs (1.22 kg)"
"Automated Tube-to-Tubesheet Welding: The M96 represents Arc Machines' specialized solution for high-speed, high-production tube-to-tubesheet welding in heat exchanger manufacturing, featuring pneumatic mandrel operation, enclosed purge chamber, and servo-controlled rotation for consistent autogenous welds.","The M96 Weld Head Top Assembly represents Arc Machines' solution for automated tube-to-tubesheet welding in high-speed, high-production heat exchanger manufacturing environments. The servo-controlled rotation combined with synchronized pulsed-current welding enables consistent autogenous welds on tubes ranging from 0.375"" to 2"" inner diameter mounted in tubesheets. The pneumatic one-button mandrel operation enables rapid mounting and dismounting, critical for high-production efficiency. The completely enclosed purge chamber provides superior inert gas coverage for materials prone to oxidation such as titanium and high-nickel alloys. The water-cooled design enables sustained operation during continuous production runs.","- Tube/Pipe ID Range: 0.375"" - 2.0"" (9.525 - 50.8 mm)
- Tube/Pipe OD Range: Up to 2.0"" (50.8 mm)
- Weld Current: Maximum 150 A DC
- Tungsten Size: 1/16"" or 3/32"" (1.6 or 2.4 mm Ø)
- Travel/Rotation Speed: 0.1 - 9.9 RPM
- Mandrel: Pneumatic one-button operation
- Purge Chamber: Transparent or opaque options
- Weight: 7 lbs (3.17 kg)"
"Automated Tube-to-Tubesheet Welding: The M96 represents Arc Machines' specialized solution for high-speed, high-production tube-to-tubesheet welding in heat exchanger manufacturing, featuring pneumatic mandrel operation, enclosed purge chamber, and servo-controlled rotation for consistent autogenous welds.","The M96 Weld Head Top Assembly represents Arc Machines' solution for automated tube-to-tubesheet welding in high-speed, high-production heat exchanger manufacturing environments. The servo-controlled rotation combined with synchronized pulsed-current welding enables consistent autogenous welds on tubes ranging from 0.375"" to 2"" inner diameter mounted in tubesheets. The pneumatic one-button mandrel operation enables rapid mounting and dismounting, critical for high-production efficiency. The completely enclosed purge chamber provides superior inert gas coverage for materials prone to oxidation such as titanium and high-nickel alloys. The water-cooled design enables sustained operation during continuous production runs.","- Tube/Pipe ID Range: 0.375"" - 2.0"" (9.525 - 50.8 mm)
- Tube/Pipe OD Range: Up to 2.0"" (50.8 mm)
- Weld Current: Maximum 150 A DC
- Tungsten Size: 1/16"" or 3/32"" (1.6 or 2.4 mm Ø)
- Travel/Rotation Speed: 0.1 - 9.9 RPM
- Mandrel: Pneumatic one-button operation
- Purge Chamber: Transparent or opaque options
- Weight: 7 lbs (3.17 kg)"
"Extreme Space-Constraint Welding: The M9-750 provides specialized ultra-low-profile performance for applications requiring access to exceptionally confined spaces while welding miniature tubes from 3/32"" through 3/4"" OD with exceptional precision and concentricity.","The M9-750 Weld Head Top Assembly is a specialized ultra-low-profile fusion weld head designed specifically for applications requiring access to exceptionally confined spaces while welding miniature tubes from 3/32"" through 3/4"" OD. The innovative low-profile design maintains all essential orbital welding capabilities while reducing height to approximately 1.5"" above the weld joint, enabling operation in applications with severe vertical space constraints. The dual-sided clamping mechanism ensures perfect concentricity on miniature components, while the flip-up viewing window provides full visibility for fit-up verification. This specialized weld head has proven invaluable in aerospace assembly, precision instrumentation, and space-restricted manufacturing environments.","- Tube/Pipe OD Range: 0.093"" - 0.750"" (2.3 - 19 mm)
- Wall Thicknesses: 0.01"" - 0.05"" (0.25 - 1.27 mm)
- Clamping: Two-sided ultra-low profile
- Profile Height: 1.5"" (38.1 mm) minimal
- Viewing Window: Flip-up design
- Water Cooling: Optional plumbing available
- Process: GTAW (TIG) fusion welding
- Weight: 2.2 lbs (1.0 kg)"
"Extreme Space-Constraint Welding: The M9-750 provides specialized ultra-low-profile performance for applications requiring access to exceptionally confined spaces while welding miniature tubes from 3/32"" through 3/4"" OD with exceptional precision and concentricity.","The M9-750 Weld Head Top Assembly is a specialized ultra-low-profile fusion weld head designed specifically for applications requiring access to exceptionally confined spaces while welding miniature tubes from 3/32"" through 3/4"" OD. The innovative low-profile design maintains all essential orbital welding capabilities while reducing height to approximately 1.5"" above the weld joint, enabling operation in applications with severe vertical space constraints. The dual-sided clamping mechanism ensures perfect concentricity on miniature components, while the flip-up viewing window provides full visibility for fit-up verification. This specialized weld head has proven invaluable in aerospace assembly, precision instrumentation, and space-restricted manufacturing environments.","- Tube/Pipe OD Range: 0.093"" - 0.750"" (2.3 - 19 mm)
- Wall Thicknesses: 0.01"" - 0.05"" (0.25 - 1.27 mm)
- Clamping: Two-sided ultra-low profile
- Profile Height: 1.5"" (38.1 mm) minimal
- Viewing Window: Flip-up design
- Water Cooling: Optional plumbing available
- Process: GTAW (TIG) fusion welding
- Weight: 2.2 lbs (1.0 kg)"
"Maximum-Diameter Industrial Welding: The M9-7500 represents the pinnacle of orbital weld head diameter capability, engineered for substantial tubes up to 7.5"" OD with precision dual-sided clamping and water-cooled performance for sustained high-production operation in demanding industrial environments.","The M9-7500 Weld Head Top Assembly represents the ultimate in large-diameter fusion welding capability, engineered for substantial tubes and pipes ranging from 2.875"" through 7.5"" OD in demanding industrial applications. The precision dual-sided clamping system manages the mechanical demands of large-diameter welding while delivering exceptional concentricity and weld quality. The water-cooling system enables extended duty cycles essential for sustained high-production operation with large-diameter components. The comprehensive range of available collets accommodates both metric and imperial specifications across diverse material compositions including stainless steel, duplex alloys, and exotic high-temperature materials.","- Tube/Pipe OD Range: 2.875"" - 7.500"" (73 - 190.5 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided large diameter mechanism
- Viewing Window: Flip-up design for verification
- Water Cooling: Plumbed for extended duty cycles
- Collet Sizes: Wide variety accommodated
- Process: GTAW (TIG) fusion welding
- Weight: 6.8 lbs (3.08 kg)"
"Maximum-Diameter Industrial Welding: The M9-7500 represents the pinnacle of orbital weld head diameter capability, engineered for substantial tubes up to 7.5"" OD with precision dual-sided clamping and water-cooled performance for sustained high-production operation in demanding industrial environments.","The M9-7500 Weld Head Top Assembly represents the ultimate in large-diameter fusion welding capability, engineered for substantial tubes and pipes ranging from 2.875"" through 7.5"" OD in demanding industrial applications. The precision dual-sided clamping system manages the mechanical demands of large-diameter welding while delivering exceptional concentricity and weld quality. The water-cooling system enables extended duty cycles essential for sustained high-production operation with large-diameter components. The comprehensive range of available collets accommodates both metric and imperial specifications across diverse material compositions including stainless steel, duplex alloys, and exotic high-temperature materials.","- Tube/Pipe OD Range: 2.875"" - 7.500"" (73 - 190.5 mm)
- Wall Thicknesses: 0.01"" - 0.16"" (0.25 - 4 mm)
- Clamping: Two-sided large diameter mechanism
- Viewing Window: Flip-up design for verification
- Water Cooling: Plumbed for extended duty cycles
- Collet Sizes: Wide variety accommodated
- Process: GTAW (TIG) fusion welding
- Weight: 6.8 lbs (3.08 kg)"
"Solving Short Stick-Out Challenges: The M9E-2500 enables precision welding of components with minimal straight length, critical for high-purity and aerospace applications where component design constrains traditional clamping approaches.","The M9E-2500 WELD HEAD TOP ASSY is the mid-size member of the Model 9E series, engineered for applications where components don't provide sufficient stick-out for traditional double-sided clamping. The single-sided clamp design with offset electrode positioning provides exceptional flexibility for welding short-length tubing, pipe fittings, and ferrule assemblies. The water-cooled cable design ensures reliable performance during continuous production, while the offset electrode geometry optimizes weld pool visibility and access to difficult-to-reach joints. This configuration is particularly valuable in semiconductor manufacturing, high-purity piping, and aerospace tube assembly applications.","- Process: GTAW (TIG) Fusion Welding
- Tube Size Range: 1.0"" - 2.5"" (25.4 mm - 63.5 mm) OD
- Wall Thickness: 0.01"" - 0.16"" (0.25 mm - 4 mm)
- Clamp Type: Single-sided with offset electrode
- Drive Motor: 28V DC integral motor
- Max Current: 200A (pulsed)
- Max Rotation Speed: 9.9 RPM
- Electrode Diameter: 1/16"" or 3/32"" (1.6 mm or 2.4 mm)
- Cable Length: 25 ft (7.6 m) standard
- Weight: Approximately 7-8 lbs (3.2-3.6 kg)"
"Solving Short Stick-Out Challenges: The M9E-2500 enables precision welding of components with minimal straight length, critical for high-purity and aerospace applications where component design constrains traditional clamping approaches.","The M9E-2500 WELD HEAD TOP ASSY is the mid-size member of the Model 9E series, engineered for applications where components don't provide sufficient stick-out for traditional double-sided clamping. The single-sided clamp design with offset electrode positioning provides exceptional flexibility for welding short-length tubing, pipe fittings, and ferrule assemblies. The water-cooled cable design ensures reliable performance during continuous production, while the offset electrode geometry optimizes weld pool visibility and access to difficult-to-reach joints. This configuration is particularly valuable in semiconductor manufacturing, high-purity piping, and aerospace tube assembly applications.","- Process: GTAW (TIG) Fusion Welding
- Tube Size Range: 1.0"" - 2.5"" (25.4 mm - 63.5 mm) OD
- Wall Thickness: 0.01"" - 0.16"" (0.25 mm - 4 mm)
- Clamp Type: Single-sided with offset electrode
- Drive Motor: 28V DC integral motor
- Max Current: 200A (pulsed)
- Max Rotation Speed: 9.9 RPM
- Electrode Diameter: 1/16"" or 3/32"" (1.6 mm or 2.4 mm)
- Cable Length: 25 ft (7.6 m) standard
- Weight: Approximately 7-8 lbs (3.2-3.6 kg)"
"Why use AXXAIR CC122? This orbital saw offers clean, burr-free cuts with scalability for bevelling and welding, perfect for industrial tube processing.","The CC122 provides high-precision cutting without deformation, ideal for stainless steel tubes. Its evolutive design allows transformation into bevelling or welding machines.","- Diameter: Ã¸5 - Ã¸119mm
- Basic jaws: 1"" to 4.5"" (24 to 121 mm)
- Additional jaws: .25"" to 4.25"" (5 to 108 mm)
- Weight: 44 kg (97 lbs)
- Cutting Precision: Perpendicular cuts < 0.25 mm
- Motor: Dual-output with 2 blade positions
- Vibration Level: < 2.5 m/sÂ²"
"Why use AXXAIR CC122? This orbital saw offers clean, burr-free cuts with scalability for bevelling and welding, perfect for industrial tube processing.","The CC122 provides high-precision cutting without deformation, ideal for stainless steel tubes. Its evolutive design allows transformation into bevelling or welding machines.","- Diameter: Ã¸5 - Ã¸119mm
- Basic jaws: 1"" to 4.5"" (24 to 121 mm)
- Additional jaws: .25"" to 4.25"" (5 to 108 mm)
- Weight: 44 kg (97 lbs)
- Cutting Precision: Perpendicular cuts < 0.25 mm
- Motor: Dual-output with 2 blade positions
- Vibration Level: < 2.5 m/sÂ²"
Dedicated Cooling Solutions for SAXX Orbital Welding Power Supplies: Maintain optimal performance and reliability with AXXAIR's engineered cooling unit for SAXX series equipment.,"The COOLING UNIT FOR SAXX-200/201 (SCOOL-700) provides dedicated thermal management specifically designed for AXXAIR's SAXX series power supplies. With 700W cooling capacity and intelligent monitoring features, this unit maintains optimal operating temperatures while alerting operators to low coolant conditions. The detachable design allows for convenient transport and installation in various welding environments.","- Model: SCOOL-700
 - Cooling Capacity: 700W
 - Weight: 8 kg (17.6 lbs)
 - Dimensions: 468 mm x 249 mm x 146 mm (18.4"" x 9.7"" x 5.7"")
 - Detachable design for portability
 - Flow alarm function
 - Coolant level monitoring
 - Compatible with SAXX-200, SAXX-201, and related models
 - Refrigeration-type cooling system"
